City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Carire,BR,79.88,broken clouds,-3.95,-40.47,
3,Rio Grande,BR,66.38,clear sky,-32.03,-52.1,Swan Express Rio Grande
14,Chuy,UY,65.8,clear sky,-33.69,-53.46,Nuevo Hotel Plaza
35,Benguela,AO,77.18,overcast clouds,-12.58,13.4,Hotel Praia Morena
46,Constitucion,MX,71.6,broken clouds,23.99,-104.67,Hotel Posada San Agustin
47,Pergamino,AR,69.3,clear sky,-33.9,-60.57,Hotel Fachinat
50,Ambilobe,MG,77.7,overcast clouds,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
54,Mataura,NZ,66.25,clear sky,-46.19,168.86,Ellie's Villa
56,Praia,BR,78.8,scattered clouds,-20.25,-43.81,Hotel Pousada de Minas
57,Turiacu,BR,75.76,overcast clouds,-5.01,-63.0,
59,Chiredzi,ZW,75.04,few clouds,-21.05,31.67,The Nesbitt Arms
61,Tezu,IN,66.6,broken clouds,27.93,96.16,Circuit House
75,Kibala,TD,75.51,few clouds,9.11,18.35,
84,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
86,Abu Dhabi,AE,77.0,broken clouds,24.47,54.37,Beach Rotana
88,San Patricio,PY,73.26,clear sky,-26.98,-56.83,Posada Doña Antonia
89,Flinders,AU,77.0,clear sky,-34.58,150.85,Shellharbour Resort & Conference Centre
92,Puerto Ayora,EC,73.4,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
98,Cayenne,GF,77.0,broken clouds,4.94,-52.33,Hôtel Le Dronmi
108,Ahipara,NZ,67.28,clear sky,-35.17,173.16,Ahipara Holiday Park
113,Ampanihy,MG,74.41,clear sky,-24.69,44.75,Sharron Bungalow
114,Guerrero Negro,MX,71.02,overcast clouds,27.97,-114.04,The Halfway Inn
116,Luxor,EG,66.2,clear sky,25.7,32.65,Iberotel Luxor
119,Arraial Do Cabo,BR,73.4,broken clouds,-22.97,-42.02,Pousada Porto Praia
126,Port Blair,IN,78.8,mist,11.67,92.75,Fortune Resort Bay Island
127,Vangaindrano,MG,68.32,scattered clouds,-23.35,47.6,
128,Mbuji-Mayi,CD,70.57,overcast clouds,-6.13,23.6,Hôtel EQUINOXE
142,Banfora,BF,78.22,clear sky,10.64,-4.75,Residences David Hebié
143,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
145,Warri,NG,76.03,broken clouds,5.52,5.75,BON Hotel Delta
153,Manavalakurichi,IN,78.8,mist,8.13,77.3,Udaya Boys Hostel
158,Avarua,CK,78.8,overcast clouds,-21.21,-159.78,Paradise Inn
