City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall in. (last 3 hrs.),Snowfall in. (last 3 hrs.)
0,Mahon,IE,2019-11-08 01:24:16,51.89,-8.4,41.0,93,40,12.75,scattered clouds,0.0,0.0
1,Jamestown,AU,2019-11-08 01:24:16,-33.21,138.6,51.26,63,87,23.15,light rain,0.19,0.0
2,Carire,BR,2019-11-08 01:24:17,-3.95,-40.47,79.88,62,76,6.49,broken clouds,0.0,0.0
3,Rio Grande,BR,2019-11-08 01:21:39,-32.03,-52.1,66.38,88,0,7.05,clear sky,0.0,0.0
4,Ushuaia,AR,2019-11-08 01:20:42,-54.81,-68.31,37.4,74,75,20.8,shower rain,0.0,0.0
5,Vaini,IN,2019-11-08 01:24:17,15.34,74.49,62.6,93,37,1.66,scattered clouds,0.0,0.0
6,Victoria,BN,2019-11-08 01:24:07,5.28,115.24,82.4,83,75,4.7,broken clouds,0.0,0.0
7,Kruisfontein,ZA,2019-11-08 01:24:18,-34.0,24.73,57.69,84,40,19.04,light rain,0.31,0.0
8,Hermanus,ZA,2019-11-08 01:24:18,-34.42,19.24,60.98,77,19,6.13,light rain,0.13,0.0
9,Cape Town,ZA,2019-11-08 01:22:02,-33.93,18.42,59.0,77,20,10.29,few clouds,0.0,0.0
10,Hilo,US,2019-11-08 01:24:00,19.71,-155.08,84.2,62,1,8.05,clear sky,0.0,0.0
11,Ancud,CL,2019-11-08 01:24:19,-41.87,-73.83,48.07,73,33,4.97,scattered clouds,0.0,0.0
12,Rikitea,PF,2019-11-08 01:24:19,-23.12,-134.97,75.27,86,10,13.94,light rain,0.31,0.0
13,Hailar,CN,2019-11-08 01:24:02,49.2,119.7,20.84,60,0,4.32,clear sky,0.0,0.0
14,Chuy,UY,2019-11-08 01:24:19,-33.69,-53.46,65.8,74,0,4.38,clear sky,0.0,0.0
15,Goderich,CA,2019-11-08 01:24:20,43.74,-81.71,27.77,95,64,7.78,light snow,0.0,1.19
16,Yellowknife,CA,2019-11-08 01:24:20,62.45,-114.38,14.0,85,75,11.41,light snow,0.0,0.0
17,Port Hedland,AU,2019-11-08 01:24:21,-20.31,118.58,102.2,9,9,11.41,clear sky,0.0,0.0
18,Hobart,AU,2019-11-08 01:24:21,-42.88,147.33,48.2,66,75,23.04,light intensity shower rain,0.0,0.0
19,Kodiak,US,2019-11-08 01:24:22,39.95,-94.76,28.4,63,1,3.18,clear sky,0.0,0.0
20,Albany,US,2019-11-08 01:24:22,42.65,-73.75,37.4,74,90,10.29,light rain,0.0,0.0
21,Longyearbyen,NO,2019-11-08 01:24:23,78.22,15.63,12.2,66,97,3.49,overcast clouds,0.0,0.0
22,Lorengau,PG,2019-11-08 01:24:24,-2.02,147.27,80.74,80,100,12.1,overcast clouds,0.0,0.0
23,Sidi Ali,DZ,2019-11-08 01:24:24,36.1,0.42,60.91,81,59,17.67,light rain,1.19,0.0
24,Sukumo,JP,2019-11-08 01:24:24,32.94,132.72,61.5,62,18,4.03,few clouds,0.0,0.0
25,Nanortalik,GL,2019-11-08 01:24:24,60.14,-45.24,33.6,71,100,11.54,light snow,0.0,0.31
26,Johnstown,US,2019-11-08 01:24:24,40.33,-78.92,37.4,97,90,8.05,light rain,0.0,0.0
27,Qaanaaq,GL,2019-11-08 01:24:25,77.48,-69.36,-1.79,70,15,6.89,few clouds,0.0,0.0
28,Palmer,AU,2019-11-08 01:24:25,-34.85,139.16,60.8,41,40,24.16,scattered clouds,0.0,0.0
29,Nelson Bay,AU,2019-11-08 01:24:25,-32.72,152.14,86.0,19,0,27.51,clear sky,0.0,0.0
30,Queanbeyan,AU,2019-11-08 01:24:26,-35.35,149.23,64.4,42,40,23.04,scattered clouds,0.0,0.0
31,Airai,TL,2019-11-08 01:24:26,-8.93,125.41,80.4,39,0,6.55,clear sky,0.0,0.0
32,Nantucket,US,2019-11-08 01:24:26,41.28,-70.1,57.2,87,75,8.05,broken clouds,0.0,0.0
33,Pundaguitan,PH,2019-11-08 01:24:26,6.37,126.17,82.69,72,99,6.62,overcast clouds,0.0,0.0
34,Omsukchan,RU,2019-11-08 01:24:26,62.53,155.8,13.95,96,90,2.42,overcast clouds,0.0,0.0
35,Benguela,AO,2019-11-08 01:24:26,-12.58,13.4,77.18,86,100,2.89,overcast clouds,0.0,0.0
36,Tiksi,RU,2019-11-08 01:24:27,71.64,128.87,-6.06,97,99,5.12,light snow,0.0,0.19
37,Kapaa,US,2019-11-08 01:24:27,22.08,-159.32,82.4,61,90,11.41,overcast clouds,0.0,0.0
38,Thinadhoo,MV,2019-11-08 01:24:27,0.53,72.93,82.06,72,67,12.12,light rain,0.87,0.0
39,Bluff,AU,2019-11-08 01:24:27,-23.58,149.07,88.54,25,0,10.78,clear sky,0.0,0.0
40,Tuktoyaktuk,CA,2019-11-08 01:24:27,69.44,-133.03,14.0,72,90,19.46,light snow,0.0,0.0
41,Butaritari,KI,2019-11-08 01:24:28,3.07,172.79,84.31,69,28,8.01,scattered clouds,0.0,0.0
42,Zhezkazgan,KZ,2019-11-08 01:24:28,47.8,67.71,26.6,92,2,8.95,clear sky,0.0,0.0
43,Dali,CN,2019-11-08 01:24:28,34.79,109.94,49.32,74,0,8.97,clear sky,0.0,0.0
44,Kailua,US,2019-11-08 01:24:28,21.39,-157.74,84.2,74,90,8.05,overcast clouds,0.0,0.0
45,Omboue,GA,2019-11-08 01:24:29,-1.57,9.26,75.16,95,100,1.01,light rain,0.31,0.0
46,Constitucion,MX,2019-11-08 01:24:29,23.99,-104.67,71.6,40,75,4.7,broken clouds,0.0,0.0
47,Pergamino,AR,2019-11-08 01:24:29,-33.9,-60.57,69.3,56,0,10.67,clear sky,0.0,0.0
48,Hithadhoo,MV,2019-11-08 01:24:29,-0.6,73.08,82.0,70,0,8.39,clear sky,0.0,0.0
49,Zhigansk,RU,2019-11-08 01:24:29,66.77,123.37,-21.14,97,88,1.36,overcast clouds,0.0,0.0
50,Ambilobe,MG,2019-11-08 01:24:30,-13.19,49.05,77.7,69,87,10.78,overcast clouds,0.0,0.0
51,Kavieng,PG,2019-11-08 01:24:30,-2.57,150.8,84.07,73,100,9.24,light rain,1.63,0.0
52,Pevek,RU,2019-11-08 01:24:31,69.7,170.27,25.39,63,87,11.68,overcast clouds,0.0,0.0
53,Clyde River,CA,2019-11-08 01:24:31,70.47,-68.59,21.2,85,90,11.41,overcast clouds,0.0,0.0
