City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Burnie,AU,2019-11-08 20:21:59,-41.05,145.91,52.0,94,39,5.99
1,Bodden Town,KY,2019-11-08 20:22:00,19.28,-81.25,88.0,88,75,5.82
2,Merauke,ID,2019-11-08 20:22:00,-8.49,140.4,71.91,93,100,1.36
3,Talcahuano,CL,2019-11-08 20:22:00,-36.72,-73.12,71.6,43,37,19.46
4,Port Alfred,ZA,2019-11-08 20:22:00,-33.59,26.89,60.01,80,97,3.8
5,Upernavik,GL,2019-11-08 20:17:05,72.79,-56.15,5.67,64,0,9.55
6,Puerto Ayora,EC,2019-11-08 20:22:01,-0.74,-90.35,78.8,61,75,3.36
7,Saint-Philippe,CA,2019-11-08 20:22:01,45.36,-73.48,34.0,68,20,14.99
8,Longyearbyen,NO,2019-11-08 20:22:01,78.22,15.63,30.2,63,75,27.51
9,Pevek,RU,2019-11-08 20:22:01,69.7,170.27,14.32,61,0,6.62
10,Punta Arenas,CL,2019-11-08 20:22:01,-53.16,-70.91,44.6,52,40,28.86
11,Hermanus,ZA,2019-11-08 20:22:02,-34.42,19.24,66.99,77,100,14.0
12,Vila Velha,BR,2019-11-08 20:22:03,-3.71,-38.6,84.2,62,67,12.75
13,Vila,IT,2019-11-08 20:17:04,45.18,8.4,50.0,93,90,6.93
14,Jamestown,AU,2019-11-08 20:22:03,-33.21,138.6,44.01,74,8,8.01
15,Aitape,PG,2019-11-08 20:22:03,-3.15,142.36,81.5,71,100,5.19
16,Tsabong,BW,2019-11-08 20:17:26,-26.02,22.4,75.7,10,80,7.56
17,Hamilton,CA,2019-11-08 20:22:03,43.26,-79.87,37.0,56,40,6.93
18,Sur,OM,2019-11-08 20:22:04,22.57,59.53,73.06,48,0,1.68
19,Kavieng,PG,2019-11-08 20:22:04,-2.57,150.8,83.88,77,100,11.52
20,Bredasdorp,ZA,2019-11-08 20:22:04,-34.53,20.04,63.0,67,100,20.8
21,Cherskiy,RU,2019-11-08 20:22:04,68.75,161.3,9.91,70,68,1.48
22,Kodiak,US,2019-11-08 20:22:05,39.95,-94.76,45.0,33,1,10.29
23,Anadyr,RU,2019-11-08 20:22:05,64.73,177.51,6.8,92,0,6.71
24,Paamiut,GL,2019-11-08 20:22:05,61.99,-49.67,39.79,47,99,24.52
25,Praia Da Vitoria,PT,2019-11-08 20:22:05,38.73,-27.07,64.4,82,20,7.47
26,Godo,JP,2019-11-08 20:22:05,35.42,136.61,50.0,53,20,10.29
27,Port Moresby,PG,2019-11-08 20:17:16,-9.47,147.16,77.0,100,90,9.17
28,Souillac,FR,2019-11-08 20:17:28,45.6,-0.6,48.2,76,90,10.29
29,Busselton,AU,2019-11-08 20:22:06,-33.64,115.35,62.01,39,0,13.33
30,Kahului,US,2019-11-08 20:22:06,20.89,-156.47,80.6,74,40,8.05
31,Swidnik,PL,2019-11-08 20:22:07,51.22,22.7,48.0,100,90,11.41
32,General Roca,AR,2019-11-08 20:22:07,-39.03,-67.58,77.0,14,20,5.82
33,Guerrero Negro,MX,2019-11-08 20:22:07,27.97,-114.04,80.13,36,19,11.56
34,Great Falls,US,2019-11-08 20:18:02,47.5,-111.29,63.0,23,1,28.86
35,Lagoa,PT,2019-11-08 20:17:18,37.14,-8.45,59.0,50,0,5.82
36,Vitim,RU,2019-11-08 20:22:08,59.44,112.57,25.68,95,100,9.91
37,Nikolskoye,RU,2019-11-08 20:22:08,59.7,30.79,33.01,96,90,4.47
38,Mahebourg,MU,2019-11-08 20:22:09,-20.41,57.7,69.01,77,20,5.82
39,Mataura,NZ,2019-11-08 20:22:09,-46.19,168.86,57.0,95,52,1.99
40,Rikitea,PF,2019-11-08 20:22:09,-23.12,-134.97,73.42,77,100,8.03
41,Albany,US,2019-11-08 20:20:48,42.65,-73.75,34.0,37,75,18.34
42,Airai,TL,2019-11-08 20:22:10,-8.93,125.41,67.03,59,2,4.14
43,Wuchi,CN,2019-11-08 20:22:10,29.38,103.02,41.56,98,100,1.43
44,Lavrentiya,RU,2019-11-08 20:22:10,65.58,-170.99,27.55,90,100,14.23
45,Lebu,ET,2019-11-08 20:22:10,8.96,38.73,59.0,58,20,9.17
46,Caravelas,BR,2019-11-08 20:22:11,-17.73,-39.27,74.39,79,0,9.93
47,Torbay,CA,2019-11-08 20:17:18,47.66,-52.73,48.2,87,90,14.99
48,Portland,US,2019-11-08 20:18:48,43.66,-70.25,33.01,54,40,19.46
49,Ushuaia,AR,2019-11-08 20:17:43,-54.81,-68.31,41.0,93,40,24.16
50,Bluff,AU,2019-11-08 20:22:12,-23.58,149.07,75.06,27,0,11.48
51,Saskylakh,RU,2019-11-08 20:22:12,71.97,114.09,-18.12,95,56,11.01
52,Khash,IR,2019-11-08 20:22:12,28.22,61.21,51.3,15,0,3.31
53,Usinsk,RU,2019-11-08 20:17:16,66.0,57.56,2.95,97,86,11.83
54,Marfino,RU,2019-11-08 20:22:13,56.07,37.56,41.0,93,90,4.47
55,Cape Town,ZA,2019-11-08 20:20:02,-33.93,18.42,66.99,59,98,12.75
56,Nouadhibou,MR,2019-11-08 20:22:13,20.93,-17.03,66.2,82,79,14.99
